Time,I
0.0,9.990011985617258
0.001,9.992009588493806
0.002,9.994007191370354
0.003,9.996004794246902
0.004,9.99800239712345
0.005,9.999999999999998
0.006,10.001997602876546
0.007,10.003995205753096
0.008,10.005992808629644
0.009000000000000001,10.007990411506192
0.01,10.00998801438274
0.011,10.011985617259288
0.012,10.013983220135836
0.013000000000000001,10.015980823012384
0.014,10.017978425888932
0.015,10.01997602876548
0.016,10.021973631642028
0.017,10.023971234518577
0.018000000000000002,10.025968837395125
0.019,10.027966440271673
0.02,10.02996404314822
0.021,10.031961646024769
0.022,10.033959248901317
0.023,10.035956851777865
0.024,10.037954454654413
0.025,10.039952057530964
0.026000000000000002,10.04194966040751
0.027,10.04394726328406
0.028,10.045944866160609
0.029,10.047942469037157
0.03,10.049940071913705
0.031,10.051937674790253
0.032,10.0539352776668
0.033,10.055932880543349
0.034,10.057930483419897
0.035,10.059928086296445
0.036000000000000004,10.061925689172991
0.037,10.06392329204954
0.038,10.065920894926087
0.039,10.067918497802635
0.04,10.069916100679183
0.041,10.071913703555731
0.042,10.07391130643228
0.043000000000000003,10.07590890930883
0.044,10.077906512185375
0.045,10.079904115061924
0.046,10.081901717938472
0.047,10.08389932081502
0.048,10.08589692369157
0.049,10.087894526568116
0.05,10.089892129444666
0.051000000000000004,10.091889732321214
0.052000000000000005,10.093887335197762
0.053,10.09588493807431
0.054,10.097882540950858
0.055,10.099880143827406
0.056,10.101877746703954
0.057,10.103875349580502
0.058,10.10587295245705
0.059000000000000004,10.107870555333598
0.06,10.109868158210146
0.061,10.111865761086696
0.062,10.113863363963244
0.063,10.115860966839792
0.064,10.11785856971634
0.065,10.119856172592888
0.066,10.121853775469436
0.067,10.123851378345984
0.068,10.125848981222532
0.069,10.12784658409908
0.07,10.129844186975628
0.07100000000000001,10.131841789852176
0.07200000000000001,10.133839392728724
0.073,10.135836995605272
0.074,10.13783459848182
0.075,10.139832201358368
0.076,10.141829804234916
0.077,10.143827407111464
0.078,10.145825009988013
0.079,10.147822612864562
0.08,10.14982021574111
0.081,10.151817818617658
0.082,10.153815421494206
0.083,10.155813024370756
0.084,10.157810627247304
0.085,10.15980823012385
0.08600000000000001,10.1618058330004
0.08700000000000001,10.163803435876948
0.088,10.165801038753496
0.089,10.167798641630045
0.09,10.16979624450659
0.091,10.17179384738314
0.092,10.173791450259689
0.093,10.175789053136237
0.094,10.177786656012785
0.095,10.179784258889333
0.096,10.18178186176588
0.097,10.183779464642427
0.098,10.185777067518975
0.099,10.187774670395523
0.1,10.189772273272071
0.101,10.19176987614862
0.10200000000000001,10.193767479025167
0.10300000000000001,10.195765081901715
0.10400000000000001,10.197762684778263
0.105,10.199760287654811
0.106,10.20175789053136
0.107,10.20375549340791
0.108,10.205753096284456
0.109,10.207750699161004
0.11,10.209748302037552
0.111,10.211745904914102
0.112,10.21374350779065
0.113,10.215741110667198
0.114,10.217738713543746
0.115,10.219736316420295
0.116,10.221733919296843
0.117,10.223731522173392
0.11800000000000001,10.22572912504994
0.11900000000000001,10.227726727926488
0.12,10.229724330803036
0.121,10.231721933679584
0.122,10.233719536556132
0.123,10.23571713943268
0.124,10.237714742309228
0.125,10.239712345185776
0.126,10.241709948062324
0.127,10.243707550938872
0.128,10.24570515381542
0.129,10.247702756691968
0.13,10.249700359568516
0.131,10.251697962445064
0.132,10.253695565321612
0.133,10.255693168198162
0.134,10.25769077107471
0.135,10.259688373951258
0.136,10.261685976827806
0.137,10.263683579704354
0.138,10.265681182580902
0.139,10.26767878545745
0.14,10.269676388333998
0.14100000000000001,10.271673991210546
0.14200000000000002,10.273671594087094
0.14300000000000002,10.275669196963642
0.14400000000000002,10.27766679984019
0.145,10.27966440271674
0.146,10.281662005593288
0.147,10.283659608469836
0.148,10.285657211346384
0.149,10.28765481422293
0.15,10.28965241709948
0.151,10.291650019976029
0.152,10.293647622852577
0.153,10.295645225729125
0.154,10.297642828605673
0.155,10.29964043148222
0.156,10.301638034358769
0.157,10.303635637235317
0.158,10.305633240111865
0.159,10.307630842988411
0.16,10.30962844586496
0.161,10.311626048741507
0.162,10.313623651618055
0.163,10.315621254494603
0.164,10.317618857371151
0.165,10.3196164602477
0.166,10.32161406312425
0.167,10.323611666000795
0.168,10.325609268877344
0.169,10.327606871753895
0.17,10.329604474630443
0.171,10.331602077506991
0.17200000000000001,10.33359968038354
0.17300000000000001,10.335597283260087
0.17400000000000002,10.337594886136635
0.17500000000000002,10.339592489013183
0.176,10.341590091889731
0.177,10.34358769476628
0.178,10.345585297642828
0.179,10.347582900519376
0.18,10.349580503395924
0.181,10.351578106272472
0.182,10.35357570914902
0.183,10.355573312025568
0.184,10.357570914902116
0.185,10.359568517778664
0.186,10.361566120655212
0.187,10.363563723531762
0.188,10.36556132640831
0.189,10.367558929284858
0.19,10.369556532161406
0.191,10.371554135037954
0.192,10.373551737914502
0.193,10.37554934079105
0.194,10.377546943667598
0.195,10.379544546544146
0.196,10.381542149420694
0.197,10.383539752297242
0.198,10.38553735517379
0.199,10.387534958050338
0.2,10.389532560926886
0.201,10.391530163803434
0.202,10.393527766679982
0.203,10.39552536955653
0.20400000000000001,10.397522972433078
0.20500000000000002,10.399520575309628
0.20600000000000002,10.401518178186176
0.20700000000000002,10.403515781062724
0.20800000000000002,10.405513383939272
0.209,10.40751098681582
0.21,10.409508589692368
0.211,10.411506192568917
0.212,10.413503795445465
0.213,10.415501398322013
0.214,10.41749900119856
0.215,10.419496604075109
0.216,10.421494206951657
0.217,10.423491809828205
0.218,10.425489412704753
0.219,10.4274870155813
0.22,10.429484618457847
0.221,10.431482221334395
0.222,10.433479824210943
0.223,10.435477427087497
0.224,10.437475029964045
0.225,10.439472632840593
0.226,10.44147023571714
0.227,10.443467838593689
0.228,10.445465441470237
0.229,10.447463044346785
0.23,10.449460647223331
0.231,10.45145825009988
0.232,10.453455852976427
0.233,10.455453455852975
0.234,10.457451058729523
0.23500000000000001,10.459448661606071
0.23600000000000002,10.46144626448262
0.23700000000000002,10.463443867359167
0.23800000000000002,10.465441470235715
0.23900000000000002,10.467439073112264
0.24,10.469436675988812
0.241,10.47143427886536
0.242,10.47343188174191
0.243,10.475429484618456
0.244,10.477427087495006
0.245,10.479424690371554
0.246,10.481422293248102
0.247,10.48341989612465
0.248,10.485417499001198
0.249,10.487415101877746
0.25,10.489412704754294
0.251,10.491410307630842
0.252,10.49340791050739
0.253,10.495405513383938
0.254,10.497403116260486
0.255,10.499400719137034
0.256,10.501398322013582
0.257,10.50339592489013
0.258,10.505393527766678
